ID;Ocupacao_Profissao;Categoria_Segmento;Classificacao_Funcional;Cor_Segmento;Fonte_Rastreio_Dados_Publicos;Descricao_Oportunidade_PRX_Capital
1;Titular de Cartório (Tabelião e Registrador);Público / Cartórios;Concursado / Delegação Pública (CNPJ);🟣 Roxo Real;CNJ / Diário Oficial / IEPTB + LinkedIn;Holding patrimonial familiar, segregação de receitas dos emolumentos, fundos exclusivos e proteção sucessória de bens.
2;Membro do Poder Judiciário (Ministro, Juiz e Desembargador) e Tribunal de Contas;Público / Judiciário;Concursado / Vitalício (Agente Público);🟣 Roxo Real;Portal da Transparência / Diário Oficial da União + LinkedIn;Planejamento sucessório seguro, previdência fechada complementar (Funpresp-Jud), fundos exclusivos e gestão imobiliária.
3;Membro do Ministério Público (Procurador e Promotor de Justiça);Público / Ministério Público;Concursado / Vitalício (Agente Público);🟣 Roxo Real;Portal da Transparência MPF/MPE + LinkedIn;Blindagem de ativos lícitos, holding patrimonial familiar, previdência privada complementar e diversificação internacional.
4;Diplomata e Conselheiro de Chancelaria;Público / Diplomacia;Concursado / Carreira de Estado;🟣 Roxo Real;Diário Oficial / Portal da Transparência MRE + LinkedIn;Gestão patrimonial internacional, hedge cambial para despesas e reservas no exterior, tributação de não-residente e offshore.
5;Advogado do Setor Público, Procurador da Fazenda, Defensor Público;Público / Advocacia Pública;Concursado / Jurídico de Estado;🟣 Roxo Real;Portal da Transparência / AGU / PGFN + LinkedIn;Otimização tributária de honorários sucumbenciais em PJ, previdência complementar e holding familiar.
6;Atleta Profissional e Desportista (PJ de Direitos de Imagem);Artes & Esportes;Profissional Liberal / PJ de Imagem;🟠 Laranja;CNPJ Ativo / CBF / Federações + LinkedIn / Mídia;Planejamento tributário de direitos de imagem em PJ, previdência de alta renda para aposentadoria precoce e fundos de liquidez.
7;Médico (Clínicas Médicas & Sociedades Uniprofissionais PJ);Saúde & Medicina;Profissional Liberal / PJ Médica;🩷 Rosa / Pink;CFM / CRM Oficial + CNPJ Ativo / QSA Receita;Equiparação Hospitalar (redução da base de cálculo IRPJ/CSLL de 32% para 8%), restituição de 5 anos no êxito e holding médica.
8;Servidor das Carreiras do Banco Central (Bacen), CVM e Susep;Público / Regulação Financeira;Concursado / Federal;🟣 Roxo Real;Portal da Transparência Bacen/CVM + LinkedIn;Investimentos com conformidade estrita de compliance regulatório, previdência complementar fechada e sucessão.
9;Piloto de Aeronaves, Comandante e Oficiais de Máquinas (Aviação PJ);Aviação & Transportes;Profissional Liberal / PJ Aviação;🩵 Ciano / Azul Claro;ANAC / Registro Aeronáutico Brasileiro (RAB) + LinkedIn;Hedge cambial em dólar para leasing de turbinas e seguros aéreos, estruturação de remuneração internacional e previdência.
10;Auditor Fiscal da Receita Federal e Fiscal de Tributos Estaduais (Sefaz);Público / Fisco;Concursado / Auditoria Fiscal;🟣 Roxo Real;Portal da Transparência Receita Federal / Sefaz + LinkedIn;Gestão de caixa de alta renda, previdência complementar fechada e fundos imobiliários.
